TransactionID,Amount,CustomerID,FraudIndicator,TransactionAmount,AnomalyScore,Category,Timestamp,MerchantID,AccountBalance,LastLogin,SuspiciousFlag,Name,Age,Address,MerchantName,Location
1,55.53033442986919,1952,0,79.41360746377397,0.6866994638180963,Other,2022-01-01 00:00:00,2701,2869.689912,8/9/2024,0,Customer 1952,50,Address 1952,Merchant 2701,Location 2701
2,12.881180192784145,1027,0,12.053087153568082,0.0817488708011465,Online,2022-01-01 01:00:00,2070,9527.947107,1/27/2022,0,Customer 1027,46,Address 1027,Merchant 2070,Location 2070
3,50.17632151706568,1955,0,33.31035719105734,0.0238568301053087,Travel,2022-01-01 02:00:00,2238,9288.355525,8/12/2024,0,Customer 1955,34,Address 1955,Merchant 2238,Location 2238
4,41.63400105303006,1796,0,46.12111728963105,0.8769943477359176,Travel,2022-01-01 03:00:00,2879,5588.049942,3/6/2024,0,Customer 1796,33,Address 1796,Merchant 2879,Location 2879
5,78.12285326574603,1946,0,54.05161801340517,0.0340587726731107,Other,2022-01-01 04:00:00,2966,7324.785332,8/3/2024,0,Customer 1946,18,Address 1946,Merchant 2966,Location 2966
6,86.94708413376785,1204,0,34.54513807247706,0.1211728992013775,Food,2022-01-01 05:00:00,2757,3152.247787,7/23/2022,0,Customer 1204,45,Address 1204,Merchant 2757,Location 2757
7,51.1470964781812,1311,0,55.383112817522296,0.1098916756547063,Food,2022-01-01 06:00:00,2096,9253.478917,11/7/2022,0,Customer 1311,25,Address 1311,Merchant 2096,Location 2096
8,56.16398430834813,1693,0,17.855877857196635,0.7805342072486868,Travel,2022-01-01 07:00:00,2493,8765.035861,11/24/2023,0,Customer 1693,27,Address 1693,Merchant 2493,Location 2493
9,37.182411723100415,1347,1,75.65994449829373,0.0104709053716154,Retail,2022-01-01 08:00:00,2612,8935.007146,12/13/2022,0,Customer 1347,20,Address 1347,Merchant 2612,Location 2612
10,17.245409041786953,1574,0,67.93187884012292,0.0293762699375884,Other,2022-01-01 09:00:00,2638,5541.197921,7/28/2023,0,Customer 1574,55,Address 1574,Merchant 2638,Location 2638
11,86.18094790838266,1424,0,23.89562271190145,0.0834553954788118,Other,2022-01-01 10:00:00,2007,4344.549864,2/28/2023,0,Customer 1424,37,Address 1424,Merchant 2007,Location 2007
12,95.55400891993546,1302,0,17.797222024189402,0.4517349450635481,Food,2022-01-01 11:00:00,2746,2670.113015,10/29/2022,0,Customer 1302,54,Address 1302,Merchant 2746,Location 2746
13,47.13851441157395,1321,0,64.78165788186897,0.4448031201651125,Other,2022-01-01 12:00:00,2092,2685.942365,11/17/2022,0,Customer 1321,47,Address 1321,Merchant 2092,Location 2092
14,98.80425008117196,1700,0,43.691459478352925,0.9973396329012194,Travel,2022-01-01 13:00:00,2892,6735.159471,12/1/2023,0,Customer 1700,22,Address 1700,Merchant 2892,Location 2892
15,99.83263446243002,1321,0,35.45084414311964,0.8279264002423734,Other,2022-01-01 14:00:00,2849,2685.942365,11/17/2022,0,Customer 1321,47,Address 1321,Merchant 2849,Location 2849
16,20.735039147246727,1463,0,47.62737483292299,0.4559473695840319,Other,2022-01-01 15:00:00,2640,1847.326392,4/8/2023,0,Customer 1463,46,Address 1463,Merchant 2640,Location 2640
17,44.54511885107208,1962,0,83.80043412877465,0.0786169688869532,Other,2022-01-01 16:00:00,2858,7989.117483,8/19/2024,0,Customer 1962,39,Address 1962,Merchant 2858,Location 2858
18,27.05493666999777,1854,0,67.01973545243015,0.5328202953043202,Travel,2022-01-01 17:00:00,2479,9960.172528,5/3/2024,0,Customer 1854,57,Address 1854,Merchant 2479,Location 2479
19,13.615519156393288,1651,1,79.67952921186595,0.2520122859524184,Food,2022-01-01 18:00:00,2470,8326.149989,10/13/2023,0,Customer 1651,58,Address 1651,Merchant 2470,Location 2470
20,20.80228963510888,1715,0,23.12632324762183,0.2791586079368224,Travel,2022-01-01 19:00:00,2933,9103.487494,12/16/2023,0,Customer 1715,57,Address 1715,Merchant 2933,Location 2933
21,36.04360521851923,1724,0,60.70535435436163,0.6759407120991201,Travel,2022-01-01 20:00:00,2835,8830.491513,12/25/2023,0,Customer 1724,32,Address 1724,Merchant 2835,Location 2835
22,99.1004273987159,1117,0,53.84670686845873,0.1242284781235212,Online,2022-01-01 21:00:00,2220,7288.036638,4/27/2022,0,Customer 1117,52,Address 1117,Merchant 2220,Location 2220
23,85.4201781893225,1613,0,15.579538194663694,0.1953263896357612,Travel,2022-01-01 22:00:00,2465,8486.464783,9/5/2023,0,Customer 1613,21,Address 1613,Merchant 2465,Location 2465
24,84.05328458627297,1643,0,13.386777836538998,0.6172898016719134,Retail,2022-01-01 23:00:00,2480,7833.796203,10/5/2023,0,Customer 1643,52,Address 1643,Merchant 2480,Location 2480
25,50.258612452465634,1788,0,98.4640558012606,0.2443530379310863,Travel,2022-01-02 00:00:00,2305,4384.800512,2/27/2024,0,Customer 1788,27,Address 1788,Merchant 2305,Location 2305
26,52.593928648769634,1251,0,95.19370554798026,0.4870702896864038,Other,2022-01-02 01:00:00,2753,1820.938586,9/8/2022,0,Customer 1251,34,Address 1251,Merchant 2753,Location 2753
27,20.48932094343152,1960,0,77.5092196540028,0.4227359977610908,Other,2022-01-02 02:00:00,2301,9934.498597,8/17/2024,0,Customer 1960,34,Address 1960,Merchant 2301,Location 2301
28,12.397442736592344,1187,0,51.77113770450813,0.838064383449069,Online,2022-01-02 03:00:00,2914,4845.969184,7/6/2022,0,Customer 1187,46,Address 1187,Merchant 2914,Location 2914
29,25.334803493141827,1121,0,73.08040768249539,0.4633405713676668,Other,2022-01-02 04:00:00,2322,4584.987688,5/1/2022,0,Customer 1121,23,Address 1121,Merchant 2322,Location 2322
30,70.07512697850342,1117,0,83.8842181328395,0.6466000102947055,Retail,2022-01-02 05:00:00,2932,7288.036638,4/27/2022,0,Customer 1117,52,Address 1117,Merchant 2932,Location 2932
31,92.6193029775784,1475,0,59.9638046074686,0.0286451504049212,Food,2022-01-02 06:00:00,2951,2805.311996,4/20/2023,0,Customer 1475,25,Address 1475,Merchant 2951,Location 2951
32,77.7269441692719,1993,0,64.82555289198555,0.1139557066719609,Online,2022-01-02 07:00:00,2313,8330.438296,9/19/2024,0,Customer 1993,60,Address 1993,Merchant 2313,Location 2313
33,59.3509900357369,1030,0,16.31638922256401,0.7904919847795615,Other,2022-01-02 08:00:00,2693,3767.557888,1/30/2022,0,Customer 1030,54,Address 1030,Merchant 2693,Location 2693
34,61.34763595275774,1116,0,74.89233384628318,0.496141397087933,Retail,2022-01-02 09:00:00,2686,3038.909607,4/26/2022,0,Customer 1116,22,Address 1116,Merchant 2686,Location 2686
35,60.47401632791208,1676,0,63.48108383812917,0.0234248603939667,Online,2022-01-02 10:00:00,2173,7624.565427,11/7/2023,0,Customer 1676,38,Address 1676,Merchant 2173,Location 2173
36,42.20773347952953,1547,0,55.0748944700021,0.1056184269218054,Retail,2022-01-02 11:00:00,2674,6742.168051,7/1/2023,0,Customer 1547,31,Address 1547,Merchant 2674,Location 2674
37,71.26856791663724,1527,0,15.85588970150042,0.1173613685668951,Food,2022-01-02 12:00:00,2832,3545.727576,6/11/2023,0,Customer 1527,59,Address 1527,Merchant 2832,Location 2832
38,46.214982406953474,1087,0,35.25955889294103,0.682579996111541,Retail,2022-01-02 13:00:00,2967,2934.809838,3/28/2022,0,Customer 1087,28,Address 1087,Merchant 2967,Location 2967
39,14.63168948637222,1207,0,53.30527210965001,0.9384845538305628,Other,2022-01-02 14:00:00,2201,5655.630626,7/26/2022,0,Customer 1207,38,Address 1207,Merchant 2201,Location 2201
